time,bodyPosX_ref,bodyPosX_cur,bodyPosY_ref,bodyPosY_cur,bodyPosZ_ref,bodyPosZ_cur
0.448000,0.000000,-0.003378,-0.000000,0.001734,0.593700,0.568841
0.450000,0.000000,-0.003414,-0.000000,0.001736,0.593700,0.568849
0.452000,0.000000,-0.003450,-0.000000,0.001738,0.593700,0.568864
0.454000,0.000000,-0.003488,-0.000000,0.001740,0.593700,0.568886
0.456000,0.000000,-0.003525,-0.000000,0.001742,0.593700,0.568915
0.458000,0.000000,-0.003564,-0.000000,0.001744,0.593700,0.568951
0.460000,0.000000,-0.003603,-0.000000,0.001746,0.593700,0.568994
0.462000,0.000000,-0.003643,-0.000000,0.001748,0.593700,0.569043
0.464000,0.000000,-0.003683,-0.000000,0.001749,0.593700,0.569098
0.466000,0.000000,-0.003724,-0.000000,0.001750,0.593700,0.569160
0.468000,0.000000,-0.003765,-0.000000,0.001752,0.593700,0.569227
0.470000,0.000000,-0.003807,-0.000000,0.001753,0.593700,0.569300
0.472000,0.000000,-0.003850,-0.000000,0.001754,0.593700,0.569379
0.474000,0.000000,-0.003893,-0.000000,0.001755,0.593700,0.569462
0.476000,0.000000,-0.003936,-0.000000,0.001755,0.593700,0.569550
0.478000,0.000000,-0.003979,-0.000000,0.001756,0.593700,0.569643
0.480000,0.000000,-0.004023,-0.000000,0.001756,0.593700,0.569741
0.482000,0.000000,-0.004068,-0.000000,0.001757,0.593700,0.569842
0.484000,0.000000,-0.004113,-0.000000,0.001757,0.593700,0.569947
0.486000,0.000000,-0.004158,-0.000000,0.001757,0.593700,0.570056
0.488000,0.000000,-0.004203,-0.000000,0.001757,0.593700,0.570168
0.490000,0.000000,-0.004248,-0.000000,0.001757,0.593700,0.570284
0.492000,0.000000,-0.004294,-0.000000,0.001756,0.593700,0.570402
0.494000,0.000000,-0.004340,-0.000000,0.001756,0.593700,0.570522
0.496000,0.000000,-0.004386,-0.000000,0.001755,0.593700,0.570645
0.498000,0.000000,-0.004432,-0.000000,0.001754,0.593700,0.570770
0.500000,0.000000,-0.004479,-0.000000,0.001753,0.593700,0.570896
0.502000,0.000000,-0.004525,-0.000000,0.001752,0.593700,0.571024
0.504000,0.000000,-0.004572,-0.000000,0.001751,0.593700,0.571153
0.506000,0.000000,-0.004618,-0.000000,0.001749,0.593700,0.571284
0.508000,0.000000,-0.004665,-0.000000,0.001748,0.593700,0.571414
0.510000,0.000000,-0.004711,-0.000000,0.001746,0.593700,0.571546
0.512000,0.000000,-0.004758,-0.000000,0.001744,0.593700,0.571677
0.514000,0.000000,-0.004804,-0.000000,0.001742,0.593700,0.571808
0.516000,0.000000,-0.004850,-0.000000,0.001740,0.593700,0.571939
0.518000,0.000000,-0.004896,-0.000000,0.001738,0.593700,0.572070
0.520000,0.000000,-0.004942,-0.000000,0.001735,0.593700,0.572200
0.522000,0.000000,-0.004988,-0.000000,0.001732,0.593700,0.572328
0.524000,0.000000,-0.005034,-0.000000,0.001730,0.593700,0.572456
0.526000,0.000000,-0.005079,-0.000000,0.001727,0.593700,0.572582
0.528000,0.000000,-0.005124,-0.000000,0.001723,0.593700,0.572706
0.530000,0.000000,-0.005169,-0.000000,0.001720,0.593700,0.572829
0.532000,0.000000,-0.005213,-0.000000,0.001716,0.593700,0.572950
0.534000,0.000000,-0.005258,-0.000000,0.001713,0.593700,0.573068
0.536000,0.000000,-0.005301,-0.000000,0.001709,0.593700,0.573184
0.538000,0.000000,-0.005345,-0.000000,0.001705,0.593700,0.573297
0.540000,0.000000,-0.005388,-0.000000,0.001701,0.593700,0.573408
0.542000,0.000000,-0.005431,-0.000000,0.001696,0.593700,0.573516
0.544000,0.000000,-0.005473,-0.000000,0.001692,0.593700,0.573620
0.546000,0.000000,-0.005515,-0.000000,0.001687,0.593700,0.573722
0.548000,0.000000,-0.005557,-0.000000,0.001682,0.593700,0.573820
0.550000,0.000000,-0.005598,-0.000000,0.001677,0.593700,0.573915
0.552000,0.000000,-0.005638,-0.000000,0.001672,0.593700,0.574006
0.554000,0.000000,-0.005678,-0.000000,0.001667,0.593700,0.574093
0.556000,0.000000,-0.005718,-0.000000,0.001661,0.593700,0.574176
0.558000,0.000000,-0.005757,-0.000000,0.001656,0.593700,0.574256
0.560000,0.000000,-0.005795,-0.000000,0.001650,0.593700,0.574331
0.562000,0.000000,-0.005833,-0.000000,0.001644,0.593700,0.574402
0.564000,0.000000,-0.005870,-0.000000,0.001638,0.593700,0.574470
0.566000,0.000000,-0.005907,-0.000000,0.001631,0.593700,0.574533
0.568000,0.000000,-0.005944,-0.000000,0.001625,0.593700,0.574592
0.570000,0.000000,-0.005979,-0.000000,0.001618,0.593700,0.574647
0.572000,0.000000,-0.006014,-0.000000,0.001612,0.593700,0.574697
0.574000,0.000000,-0.006049,-0.000000,0.001605,0.593700,0.574744
0.576000,0.000000,-0.006083,-0.000000,0.001598,0.593700,0.574786
0.578000,0.000000,-0.006116,-0.000000,0.001590,0.593700,0.574823
0.580000,0.000000,-0.006149,-0.000000,0.001583,0.593700,0.574857
0.582000,0.000000,-0.006181,-0.000000,0.001575,0.593700,0.574886
0.584000,0.000000,-0.006213,-0.000000,0.001568,0.593700,0.574911
0.586000,0.000000,-0.006244,-0.000000,0.001560,0.593700,0.574932
0.588000,0.000000,-0.006274,-0.000000,0.001552,0.593700,0.574948
0.590000,0.000000,-0.006304,-0.000000,0.001544,0.593700,0.574961
0.592000,0.000000,-0.006333,-0.000000,0.001535,0.593700,0.574969
0.594000,0.000000,-0.006362,-0.000000,0.001527,0.593700,0.574974
0.596000,0.000000,-0.006390,-0.000000,0.001518,0.593700,0.574974
0.598000,0.000000,-0.006417,-0.000000,0.001510,0.593700,0.574971
0.600000,0.000000,-0.006444,-0.000000,0.001501,0.593700,0.574963
0.602000,0.000000,-0.006471,-0.000000,0.001492,0.593700,0.574952
0.604000,0.000000,-0.006496,-0.000000,0.001483,0.593700,0.574938
0.606000,0.000000,-0.006521,-0.000000,0.001474,0.593700,0.574919
0.608000,0.000000,-0.006546,-0.000000,0.001464,0.593700,0.574898
0.610000,0.000000,-0.006570,-0.000000,0.001455,0.593700,0.574873
0.612000,0.000000,-0.006594,-0.000000,0.001445,0.593700,0.574844
