time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy
1.120000,0.233999,0.000545,0.593700,1.999952,0.013839,0.000000,0.007169,0.600000,0.027194,0.000424,0.593462,0.466089,0.009910,-0.012810,0.009274,0.000301,0.597293,0.231002,-0.129251,-0.028733,0.403213,0.403213,-0.397123,-0.397123,0.368881,0.413587,-0.384272,-0.424587,0.234832,-0.234832,0.234832,-0.234832,0.222435,-0.228256,0.239824,-0.251772,0.390650,0.155888
1.130000,0.253998,0.000696,0.593700,1.999932,0.016440,0.000000,0.008495,0.600000,0.032041,0.000531,0.593342,0.501912,0.011533,-0.009631,0.011298,-0.000269,0.596983,0.213828,-0.078061,-0.010186,0.403638,0.403638,-0.397549,-0.397549,0.369417,0.414713,-0.383497,-0.423430,0.234832,-0.234832,0.234832,-0.234832,0.220807,-0.228591,0.239884,-0.253687,0.391711,0.155930
1.140000,0.273998,0.000874,0.593700,1.999907,0.019294,0.000000,0.009949,0.600000,0.037214,0.000655,0.593258,0.532623,0.013373,-0.007002,0.013265,-0.001875,0.596809,0.216589,-0.154971,-0.013584,0.404075,0.404075,-0.397986,-0.397986,0.371719,0.416505,-0.382263,-0.420650,0.234832,-0.234832,0.234832,-0.234832,0.219810,-0.227688,0.241245,-0.253584,0.393700,0.156727
1.150000,0.293996,0.001082,0.593700,1.999874,0.022413,0.000000,0.011535,0.600000,0.042704,0.000799,0.593138,0.565531,0.015432,-0.014365,0.015512,-0.002484,0.596739,0.244049,-0.109471,0.010152,0.404489,0.404489,-0.398399,-0.398399,0.374018,0.418247,-0.380974,-0.418093,0.234832,-0.234832,0.234832,-0.234832,0.220916,-0.226632,0.242810,-0.251969,0.395688,0.156673
1.162000,0.317995,0.001376,0.593700,1.999823,0.026537,0.000000,0.013636,0.600000,0.049723,0.000998,0.592983,0.603907,0.017629,-0.016296,0.018712,-0.003805,0.596906,0.292718,-0.098881,0.022706,0.404975,0.404975,-0.398886,-0.398886,0.377398,0.419844,-0.379156,-0.414909,0.234832,-0.234832,0.234832,-0.234832,0.222554,-0.225094,0.245515,-0.249170,0.398238,0.157764
1.172000,0.337993,0.001660,0.593700,1.999769,0.030357,0.000000,0.015584,0.600000,0.055930,0.001182,0.592722,0.638359,0.019264,-0.036058,0.021795,-0.004785,0.597141,0.327185,-0.086311,0.024586,0.405330,0.405330,-0.399241,-0.399241,0.380394,0.420961,-0.377267,-0.411993,0.234832,-0.234832,0.234832,-0.234832,0.223279,-0.224439,0.247443,-0.247175,0.396555,0.157053
1.182000,0.357990,0.001984,0.593700,1.999701,0.034560,0.000000,0.017725,0.600000,0.062502,0.001384,0.592261,0.676392,0.021030,-0.056058,0.025317,-0.005657,0.597500,0.358090,-0.074302,0.029194,0.405653,0.405653,-0.399563,-0.399563,0.383333,0.422056,-0.375167,-0.409158,0.234832,-0.234832,0.234832,-0.234832,0.223565,-0.224229,0.249038,-0.245496,0.394185,0.156243
1.192000,0.377987,0.002352,0.593700,1.999616,0.039158,0.000000,0.020064,0.600000,0.069462,0.001604,0.591601,0.715531,0.023150,-0.076058,0.030317,-0.006364,0.597649,0.436517,-0.059469,0.023136,0.405967,0.405967,-0.399878,-0.399878,0.386131,0.423147,-0.372890,-0.406697,0.234832,-0.234832,0.234832,-0.234832,0.223466,-0.224390,0.250285,-0.244116,0.392576,0.155661
1.202000,0.397982,0.002769,0.593700,1.999511,0.044158,0.000000,0.022606,0.600000,0.076812,0.001848,0.590740,0.754526,0.025670,-0.096058,0.035310,-0.007030,0.598110,0.497150,-0.050326,0.031032,0.406279,0.406279,-0.400189,-0.400189,0.388762,0.424356,-0.370400,-0.405137,0.234832,-0.234832,0.234832,-0.234832,0.223240,-0.224672,0.251509,-0.242802,0.389726,0.155046
1.212000,0.417977,0.003237,0.593700,1.999387,0.049511,0.000000,0.025308,0.600000,0.084557,0.002119,0.589680,0.794487,0.028604,-0.116058,0.040556,-0.007429,0.598182,0.540870,-0.026646,0.000257,0.406595,0.406595,-0.400505,-0.400505,0.391369,0.425234,-0.368510,-0.403823,0.234832,-0.234832,0.234832,-0.234832,0.222947,-0.225008,0.252766,-0.241476,0.388054,0.154750
