time,Prx,Pry,Prz,Vrx,Vry,Vrz,Yawr,vYawr,Pcx,Pcy,Pcz,Vcx,Vcy,Vcz,Pbx,Pby,Pbz,Vbx,Vby,Vbz,Pf0rx,Pf1rx,Pf2rx,Pf3rx,Pf0cx,Pf1cx,Pf2cx,Pf3cx,Pf0ry,Pf1ry,Pf2ry,Pf3ry,Pf0cy,Pf1cy,Pf2cy,Pf3cy,ux,uy
1.120000,0.234000,0.000032,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.027334,-0.000005,0.592390,0.460887,-0.000042,-0.017389,0.013528,0.000859,0.596488,0.295938,0.001040,-0.005289,0.405645,0.405645,-0.399555,-0.399555,0.412569,0.412733,-0.388662,-0.388908,0.234832,-0.234832,0.234832,-0.234832,0.232136,-0.236634,0.232683,-0.236925,0.391511,0.155764
1.130000,0.254000,0.000035,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.032136,-0.000005,0.592213,0.499526,-0.000040,-0.017909,0.016820,0.000868,0.596439,0.339293,0.001009,-0.005130,0.406365,0.406365,-0.400276,-0.400276,0.413040,0.413169,-0.389282,-0.389314,0.234832,-0.234832,0.234832,-0.234832,0.232126,-0.236644,0.232674,-0.236934,0.392013,0.155765
1.140000,0.274000,0.000037,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.037324,-0.000005,0.592032,0.538174,-0.000034,-0.018291,0.020344,0.000879,0.596396,0.367590,0.001101,-0.003750,0.407143,0.407143,-0.401054,-0.401054,0.413542,0.413591,-0.389952,-0.389859,0.234832,-0.234832,0.234832,-0.234832,0.232116,-0.236653,0.232664,-0.236942,0.392709,0.155763
1.150000,0.294000,0.000040,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.042900,-0.000006,0.591845,0.577105,-0.000026,-0.019230,0.024206,0.000890,0.596360,0.400504,0.001157,-0.007036,0.407980,0.407980,-0.401890,-0.401890,0.414083,0.414055,-0.390527,-0.390372,0.234832,-0.234832,0.234832,-0.234832,0.232107,-0.236663,0.232654,-0.236952,0.393363,0.155768
1.162000,0.318000,0.000043,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.050106,-0.000006,0.591609,0.623670,-0.000025,-0.019712,0.029329,0.000903,0.596213,0.447154,0.001202,-0.008675,0.409061,0.409061,-0.402971,-0.402971,0.414567,0.414558,-0.391427,-0.391227,0.234832,-0.234832,0.234832,-0.234832,0.232092,-0.236677,0.232646,-0.236960,0.394379,0.155799
1.172000,0.338000,0.000046,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.056534,-0.000006,0.591418,0.661916,-0.000024,-0.018450,0.034006,0.000915,0.596191,0.483469,0.001196,-0.002588,0.410025,0.410025,-0.403935,-0.403935,0.414959,0.414898,-0.392371,-0.392197,0.234832,-0.234832,0.234832,-0.234832,0.232079,-0.236689,0.232637,-0.236968,0.395349,0.155784
1.182000,0.358000,0.000049,0.593700,2.000000,0.000273,0.000000,0.000137,0.000000,0.063347,-0.000006,0.591234,0.700978,-0.000024,-0.018986,0.039053,0.000927,0.596188,0.518607,0.001086,-0.004464,0.411047,0.411047,-0.404957,-0.404957,0.415394,0.415251,-0.393339,-0.393249,0.234832,-0.234832,0.234832,-0.234832,0.232065,-0.236704,0.232628,-0.236975,0.396466,0.155777
1.192000,0.378000,0.000052,0.593700,1.999999,0.000274,0.000000,0.000137,0.000000,0.070556,-0.000007,0.591033,0.740755,-0.000024,-0.021053,0.044465,0.000955,0.596026,0.557288,0.001954,-0.013478,0.412128,0.412128,-0.406039,-0.406039,0.415754,0.415579,-0.394287,-0.394254,0.234832,-0.234832,0.234832,-0.234832,0.232091,-0.236677,0.232659,-0.236945,0.397547,0.155792
1.202000,0.398000,0.000054,0.593700,1.999999,0.000274,0.000000,0.000137,0.000000,0.078159,-0.000007,0.590822,0.779639,-0.000021,-0.020743,0.050269,0.000971,0.595994,0.597105,0.001602,-0.001585,0.413268,0.413268,-0.407179,-0.407179,0.416123,0.415869,-0.395558,-0.395548,0.234832,-0.234832,0.234832,-0.234832,0.232147,-0.236620,0.232719,-0.236884,0.398873,0.155775
1.212000,0.418000,0.000057,0.593700,1.999999,0.000274,0.000000,0.000137,0.000000,0.086150,-0.000007,0.590618,0.818679,-0.000014,-0.020320,0.056460,0.000982,0.595871,0.634753,0.001246,-0.012083,0.414466,0.414466,-0.408377,-0.408377,0.416461,0.416171,-0.396971,-0.397034,0.234832,-0.234832,0.234832,-0.234832,0.232199,-0.236569,0.232769,-0.236833,0.400455,0.155816
